filename	mark	label	off0	off1	span	code	semantic_rel	omim_code	mesh_code	icd10_code	hpo_code
es-S1130-63432016000100009-1	T1	ENFERMEDAD	98	113	ictus isquémico	422504002	EXACT	601367	D000083242	None	HP:0002140
es-S1130-63432016000100009-1	T2	ENFERMEDAD	194	225	tromboembolismo venoso profundo	128053003	EXACT	MTHU015932	D020246	None	HP:0002625
es-S1130-63432016000100009-1	T3	ENFERMEDAD	1029	1045	obesidad extrema	238136002	EXACT	601487	D009767	None	None
es-S1135-76062016000100006-1	T1	ENFERMEDAD	4023	4046	distorsiones cognitivas	443265004	EXACT	MTHU060213	D003072	None	None
es-S1135-76062016000100006-1	T2	ENFERMEDAD	3080	3112	trastorno límite de personalidad	20010003	EXACT	None	D001883	None	HP:0012076
es-S1135-76062016000100006-1	T3	ENFERMEDAD	2402	2416	retraso mental	110359009	EXACT	MTHU008294	D008607	None	HP:0001249
es-S1135-76062016000100006-1	T4	ENFERMEDAD	1763	1791	conductas sexuales desviadas	50299009	EXACT	None	D010262	None	None
es-S1135-76062016000100006-1	T5	ENFERMEDAD	4352	4375	distorsiones cognitivas	443265004	EXACT	MTHU060213	D003072	None	None
es-S1135-76062016000100006-1	T6	ENFERMEDAD	2746	2771	conductas metasimulativas	430909002	NARROW	None	D019955	F91.9	None
es-S1135-76062016000100006-1	T7	ENFERMEDAD	526	544	luxación de hombro	417076003	EXACT	MTHU021006	D012783	S43.0	HP:0003834
es-S1135-76062016000100006-1	T8	ENFERMEDAD	470	478	lesiones	157670007	EXACT	None	None	None	None
es-S1135-76062016000100006-1	T9	ENFERMEDAD	1084	1092	lesiones	157670007	EXACT	None	None	None	None
es-S1135-76062016000100006-1	T10	ENFERMEDAD	4266	4274	lesiones	157670007	EXACT	None	None	None	None
es-S0210-48062005000300016-2	T1	ENFERMEDAD	1321	1351	dilatación del tracto urinario	128606002	NARROW	None	D014570	N39.9	None
es-S0210-48062005000300016-2	T2	ENFERMEDAD	2481	2520	patología del aparato valvular cardiaco	368009	EXACT	MTHU039983	D006349	None	HP:0001654
es-S0210-48062005000300016-2	T3	ENFERMEDAD	245	267	hematuria macroscópica	197941005	EXACT	MTHU068861	None	None	HP:0012587
es-S0210-48062005000300016-2	T4	ENFERMEDAD	1594	1619	isquemia miocárdica aguda	413444003	EXACT	None	None	None	None
es-S0210-48062005000300016-2	T5	ENFERMEDAD	421	452	accidente isquémico transitorio	266257000	EXACT	MTHU071676	D002546	G45.9	HP:0002326
es-S0210-48062005000300016-2	T6	ENFERMEDAD	526	543	arritmia cardíaca	698247007	EXACT	MTHU010895	D001145	I49.9	HP:0011675
es-S0210-48062005000300016-2	T7	ENFERMEDAD	546	558	valvulopatía	368009	EXACT	MTHU039983	D006349	None	HP:0001654
es-S0210-48062005000300016-2	T8	ENFERMEDAD	570	595	episodios tromboembólicos	371039008	EXACT	MTHU010071	D013923	None	HP:0001907
es-S0210-48062005000300016-2	T9	ENFERMEDAD	638	655	litiasis urinaria	95566004	EXACT	MTHU014570	D052878	N20-N23.9	None
es-S0210-48062005000300016-2	T10	ENFERMEDAD	1923	1941	dilatación aórtica	26660001	EXACT	MTHU060398	None	None	HP:0004942
es-S0210-48062005000300016-2	T11	ENFERMEDAD	1944	1970	aneurisma de arteria renal	36184004	EXACT	MTHU044952	None	I72.2	None
es-S0210-48062005000300016-2	T12	ENFERMEDAD	711	727	abuso de cocaína	78267003	EXACT	None	D019970	None	None
es-S0210-48062005000300016-2	T13	ENFERMEDAD	751	766	hepatitis B o C	442374005	EXACT	None	None	None	None
es-S0210-48062005000300016-2	T14	ENFERMEDAD	2272	2291	episodios embólicos	414086009	EXACT	None	D004617	None	None
es-S0210-48062005000300016-2	T15	ENFERMEDAD	342	354	Hipertensión	38341003	EXACT	MTHU014957	D006973	I10-I15.9	HP:0000822
es-S0210-48062005000300016-2	T16	ENFERMEDAD	3300	3309	embolismo	414086009	EXACT	None	D004617	None	None
es-S0210-48062005000300016-2	T17	ENFERMEDAD	3331	3351	enfermedad sistémica	56019007	EXACT	None	None	None	None
es-S0210-48062005000300016-2	T18	ENFERMEDAD	3404	3416	hipertensión	38341003	EXACT	MTHU014957	D006973	I10-I15.9	HP:0000822
es-S0210-48062005000300016-2	T19	ENFERMEDAD	2540	2563	vegetaciones valvulares	459055004	NARROW	None	None	None	None
es-S0210-48062005000300016-2	T20	ENFERMEDAD	1840	1848	isquemia	52674009	EXACT	None	D007511	None	None
es-S0210-48062005000300016-2	T21	ENFERMEDAD	2586	2607	discinesia miocárdica	25437005	EXACT	None	None	None	None
es-S0210-48062005000300016-2	T22	ENFERMEDAD	2843	2918	macro/ microaneurismas o alteraciones de la arteria renal principal o aorta	67362008+36184004	COMPOSITE	MTHU034611+MTHU044952	D001014	I72.2	HP:0004942
es-S0210-48062005000300016-2	T23	ENFERMEDAD	2950	2985	enfermedad protrombótica y vascular	76612001	NARROW	MTHU054815	D019851	None	HP:0100724
es-S1130-63432013000300012-1	T1	ENFERMEDAD	97	117	hemorragia digestiva	74474003	EXACT	MTHU037874	D006471	K92.2	HP:0002239
es-S1130-63432013000300012-1	T2	ENFERMEDAD	139	158	valvulopatía mitral	11851006	EXACT	MTHU008102	None	None	None
es-S1130-63432013000300012-1	T3	ENFERMEDAD	1905	1933	hipertensión pulmonar severa	70995007	NARROW	MTHU002225	D006976	None	None
es-S1130-63432013000300012-1	T4	ENFERMEDAD	260	279	sangrado intestinal	712510007	EXACT	MTHU016101	None	None	HP:0002584
es-S1130-63432013000300012-1	T5	ENFERMEDAD	303	328	anemia ferropénica severa	87522002	NARROW	MTHU041486	D018798	D50.9	HP:0001891
es-S1130-63432013000300012-1	T6	ENFERMEDAD	2169	2193	tromboembolismo pulmonar	59282003	EXACT	MTHU069041	D011655	I26	HP:0002204
es-S1130-63432013000300012-1	T7	ENFERMEDAD	514	533	sangrado intestinal	712510007	EXACT	MTHU016101	None	None	HP:0002584
es-S1130-63432013000300012-1	T8	ENFERMEDAD	633	713	angiodisplasias intestinales en antro duodenal, yeyuno proximal e íleon terminal	721662002	NARROW	None	None	None	None
es-S1130-63432013000300012-1	T9	ENFERMEDAD	988	1003	angiodisplasias	71072006	EXACT	MTHU006470	D016888	None	None
es-S1130-63432013000300012-1	T10	ENFERMEDAD	1047	1070	angiodisplasias ileales	721662002	NARROW	None	None	None	None
es-S1130-63432013000300012-1	T11	ENFERMEDAD	1290	1298	lesiones	157670007	EXACT	None	None	None	None
es-S1139-76322015000300015-1	T1	ENFERMEDAD	64	77	criptorquidia	204878001	EXACT	MTHU017447	D003456	Q53.9	HP:0000028
es-S1139-76322015000300015-1	T2	ENFERMEDAD	171	202	inflamación parotídea bilateral	274106005	NARROW	None	None	None	None
es-S1139-76322015000300015-1	T3	ENFERMEDAD	641	676	tumoración laterocervical bilateral	126635000	NARROW	None	D006258	None	None
es-S1130-01082008000800010-1	T1	ENFERMEDAD	44	59	diarrea crónica	236071009	EXACT	MTHU069057	None	None	HP:0002028
es-S1130-01082008000800010-1	T2	ENFERMEDAD	1294	1330	carcinoma de células renales papilar	733608000	EXACT	MTHU017775	D002292	None	HP:0006766
es-S1130-01082008000800010-1	T3	ENFERMEDAD	680	686	lesión	417163006	EXACT	None	None	None	None
es-S1130-01082008000800010-1	T4	ENFERMEDAD	1090	1096	lesión	417163006	EXACT	None	None	None	None
es-S1139-76322017000200007-1	T1	ENFERMEDAD	551	602	conglomerado submandibular izquierdo de adenopatías	127084003	NARROW	None	None	None	None
es-S1139-76322017000200007-1	T2	ENFERMEDAD	1674	1694	adenitis tuberculosa	10893003	EXACT	None	D014388	None	None
es-S1139-76322017000200007-1	T3	ENFERMEDAD	118	155	adenopatías dolorosas submandibulares	127084003	NARROW	None	None	None	None
es-S1139-76322017000200007-1	T4	ENFERMEDAD	676	687	adenopatías	30746006	EXACT	MTHU002630	D000072281	None	HP:0002716
es-S1139-76322017000200007-1	T5	ENFERMEDAD	1575	1614	linfadenitis granulomatosa necrotizante	426121003	NARROW	None	None	None	None
es-S1139-76322017000200007-1	T6	ENFERMEDAD	1850	1884	cultivo fue positivo para M. bovis	373437006	EXACT	None	D014380	None	None
es-S1139-76322017000200007-1	T7	ENFERMEDAD	2429	2447	proceso infeccioso	40733004	EXACT	None	D003141	None	None
es-S1139-76322017000200007-1	T8	ENFERMEDAD	1446	1456	adenopatía	30746006	EXACT	MTHU002630	D000072281	None	HP:0002716
es-S1130-05582015000300004-1	T1	ENFERMEDAD	979	994	lesión quística	441457006	EXACT	None	D003560	None	None
es-S1130-05582015000300004-1	T2	ENFERMEDAD	2148	2163	lesión quística	441457006	EXACT	None	D003560	None	None
es-S1130-05582015000300004-1	T3	ENFERMEDAD	1406	1421	lesión quística	441457006	EXACT	None	D003560	None	None
es-S1130-05582015000300004-1	T4	ENFERMEDAD	2259	2265	quiste	441457006	EXACT	None	D003560	None	None
es-S1130-05582015000300004-1	T5	ENFERMEDAD	1765	1828	quiste sinovial por encima de la rama frontal del nervio facial	240205003	NARROW	MTHU026376	D013581	None	None
es-S1130-05582015000300004-1	T6	ENFERMEDAD	345	375	hipertensión arterial esencial	59621000	EXACT	145500	D000075222	I10	None
es-S1130-05582015000300004-1	T7	ENFERMEDAD	1861	1930	pedículo que comunica el quiste con la articulación temporomandibular	41888000	NARROW	None	D013706	K07.6	None
es-S1130-05582015000300004-1	T8	ENFERMEDAD	1984	1990	herida	416462003	EXACT	None	D014947	None	None
es-S0365-66912006000400010-1	T1	ENFERMEDAD	219	229	anhidrosis	39659002	EXACT	MTHU001816	D007007	L74.4	HP:0000970
es-S0365-66912006000400010-1	T2	ENFERMEDAD	312	329	ausencia de cejas	422441003	EXACT	MTHU010024	None	None	HP:0002223
es-S0365-66912006000400010-1	T3	ENFERMEDAD	332	341	madarosis	34887006	EXACT	MTHU010023	None	None	None
es-S0365-66912006000400010-1	T4	ENFERMEDAD	525	561	neovascularización corneal bilateral	346481000119100	EXACT	None	None	None	None
es-S0365-66912006000400010-1	T5	ENFERMEDAD	649	689	queratopatía punteada superficial difusa	42513006	EXACT	MTHU037418	None	None	None
es-S0365-66912006000400010-1	T6	ENFERMEDAD	1182	1196	queratoeritema	26996000	NARROW	MTHU039215	D002145	None	HP:0000962
es-S0365-66912006000400010-1	T7	ENFERMEDAD	1199	1221	sordera neurosensorial	60700002	EXACT	MTHU032910	D006319	H90.5	HP:0000407
es-S0365-66912006000400010-1	T8	ENFERMEDAD	1259	1271	síndrome KID	239059004	EXACT	None	C580224	None	None
es-S0365-66912006000400010-1	T9	ENFERMEDAD	1446	1458	síndrome KID	239059004	EXACT	None	C580224	None	None
es-S0365-66912006000400010-1	T10	ENFERMEDAD	247	282	lesiones cutáneas hiperqueratósicas	707209001	EXACT	None	None	None	None
es-S0365-66912006000400010-1	T11	ENFERMEDAD	134	149	sequedad ocular	162290004	EXACT	MTHU030852	D015352	None	None
es-S0365-66912006000400010-1	T12	ENFERMEDAD	231	245	piosis cutánea	106076001	NARROW	None	None	None	None
es-S0365-66912006000400010-1	T13	ENFERMEDAD	284	310	pérdida de cuero cabelludo	238922006	NARROW	None	None	None	None
es-S0365-66912006000400010-1	T14	ENFERMEDAD	188	217	sequedad cutánea generalizada	16386004	EXACT	MTHU001050	None	None	HP:0000958
es-S0004-06142007000900013-1	T1	ENFERMEDAD	923	941	torsión testicular	81996005	EXACT	187400	D013086	N44	HP:0100813
es-S1887-85712015000200005-1	T1	ENFERMEDAD	1164	1212	fractura de diáfisis femoral de trazo transverso	54441004	EXACT	None	None	S72.3	None
es-S1887-85712015000200005-1	T2	ENFERMEDAD	236	264	fractura diafisaria de fémur	54441004	EXACT	None	None	S72.3	None
es-S1887-85712015000200005-1	T3	ENFERMEDAD	279	287	fractura	72704001	EXACT	MTHU070627	D050723	None	HP:0020110
es-S0210-48062005000800014-1	T1	ENFERMEDAD	44	59	enolismo severo	713862009	EXACT	None	None	None	None
es-S0210-48062005000800014-1	T2	ENFERMEDAD	104	125	hipertensión arterial	38341003	EXACT	MTHU014957	D006973	I10-I15.9	HP:0000822
es-S0210-48062005000800014-1	T3	ENFERMEDAD	140	166	pancreatitis aguda enólica	235942001	EXACT	None	None	None	None
es-S0210-48062005000800014-1	T4	ENFERMEDAD	1105	1147	necrosis grasas secundarias a pancreatitis	46626002	EXACT	None	None	None	None
es-S0210-48062005000800014-1	T5	ENFERMEDAD	1135	1147	pancreatitis	75694006	EXACT	MTHU003881	D010195	None	HP:0001733
es-S0210-48062005000800014-1	T6	ENFERMEDAD	768	784	lesiones renales	90708001	EXACT	MTHU017719	D009401	None	HP:0000112
es-S0210-48062005000800014-1	T7	ENFERMEDAD	243	273	inflamación pancreática difusa	75694006	EXACT	MTHU003881	D010195	None	HP:0001733
es-S0210-48062005000800014-1	T8	ENFERMEDAD	554	579	cuadro inflamatorio agudo	4532008	EXACT	None	None	None	None
es-S0210-48062005000800014-1	T9	ENFERMEDAD	436	454	quiste hemorrágico	52321009	EXACT	None	None	None	None
es-S0210-48062005000800014-1	T10	ENFERMEDAD	35	42	fumador	77176002	EXACT	None	D000074285	None	None
es-S0210-48062005000800014-1	T11	ENFERMEDAD	1024	1050	granuloma esteatonecrótico	27058005	NARROW	None	None	None	None
es-S1139-76322015000500009-1	T1	ENFERMEDAD	1238	1272	parálisis hiperpotasémica familiar	304737009	EXACT	170500	D020513	None	HP:0007215
es-S1139-76322015000500009-1	T2	ENFERMEDAD	456	490	parálisis hiperpotasémica familiar	304737009	EXACT	170500	D020513	None	HP:0007215
es-S0212-71992007001000008-1	T1	ENFERMEDAD	1138	1141	HCL	65399007	EXACT	604856	D006646	None	None
es-S0212-71992007001000008-1	T2	ENFERMEDAD	1325	1367	adenopatía en localización supraclavicular	127088000	EXACT	None	None	None	None
es-S0212-71992007001000008-1	T3	ENFERMEDAD	1405	1465	enfermedad de Hodgkin tipo esclerosis nodular asociada a HCL	118608000	EXACT	None	None	C81.1	None
es-S0212-71992007001000008-1	T4	ENFERMEDAD	1462	1465	HCL	65399007	EXACT	604856	D006646	None	None
es-S0212-71992007001000008-1	T5	ENFERMEDAD	128	137	hemotórax	31892009	EXACT	None	D006491	J94.2	HP:0012151
es-S1130-05582010000200005-1	T1	ENFERMEDAD	744	769	lesión tumoral mandibular	126551000	EXACT	None	D008339	None	None
es-S1130-05582010000200005-1	T2	ENFERMEDAD	1058	1072	lesión mixoide	92069005	NARROW	None	None	None	None
es-S1130-05582010000200005-1	T3	ENFERMEDAD	1310	1340	mixoma odontogénico mandibular	92208007	NARROW	None	None	D16.5	None
es-S1130-05582010000200005-1	T4	ENFERMEDAD	2320	2350	mixoma odontogénico mandibular	92208007	NARROW	None	None	D16.5	None
es-S1130-05582010000200005-1	T5	ENFERMEDAD	1433	1439	lesión	417163006	EXACT	None	None	None	None
es-S1139-76322016000300007-1	T1	ENFERMEDAD	1343	1359	síndrome de Frey	45294007	EXACT	144100	D013547	None	None
es-S0376-78922011000200004-1	T1	ENFERMEDAD	591	610	fascitis necrosante	52486002	EXACT	None	D019115	None	None
es-S0376-78922011000200004-1	T2	ENFERMEDAD	1417	1426	infección	40733004	EXACT	None	D003141	None	None
es-S0376-78922011000200004-1	T3	ENFERMEDAD	53	80	insuficiencia renal crónica	90688005	EXACT	MTHU036383	D007676	N18.9	None
es-S0376-78922011000200004-1	T4	ENFERMEDAD	421	430	flictenas	247464001	EXACT	None	None	None	None
es-S0376-78922011000200004-1	T5	ENFERMEDAD	1838	1846	hematoma	385494008	EXACT	MTHU024479	D006406	None	None
es-S0376-78922011000200004-1	T6	ENFERMEDAD	1849	1858	infección	40733004	EXACT	None	D003141	None	None
es-S0376-78922011000200004-1	T7	ENFERMEDAD	433	449	necrosis cutánea	95347000	EXACT	MTHU036157	None	None	HP:0033126
es-S0376-78922011000200004-1	T8	ENFERMEDAD	2712	2718	herida	416462003	EXACT	None	D014947	None	None
es-S0376-78922011000200004-1	T9	ENFERMEDAD	335	366	lesiones eritematosas en flanco	70819003	NARROW	MTHU015896	D004890	L53.9	HP:0010783
es-S0376-78922011000200004-1	T10	ENFERMEDAD	508	516	lesiones	157670007	EXACT	None	None	None	None
es-S1888-75462017000100042-1	T1	ENFERMEDAD	795	847	pseudoartrosis de la apófisis unciforme del ganchoso	208369005	NARROW	None	None	None	None
es-S1888-75462017000100042-1	T2	ENFERMEDAD	491	552	neuropatía compresiva del nervio cubital en el canal de Guyon	193134004	EXACT	None	D017769	None	None
es-S1888-75462017000100042-1	T3	ENFERMEDAD	988	1002	pseudoartrosis	410818009	EXACT	MTHU016477	D011542	None	HP:0005864
es-S1139-76322009000700014-1	T1	ENFERMEDAD	2462	2486	mononucleosis infecciosa	271558008	EXACT	MTHU043155	D007244	B27.9	None
es-S1139-76322009000700014-1	T2	ENFERMEDAD	2491	2499	neumonia	233604007	EXACT	MTHU002638	D011014	J18.9	HP:0002090
es-S1139-76322009000700014-1	T3	ENFERMEDAD	1667	1691	mononucleosis infecciosa	271558008	EXACT	MTHU043155	D007244	B27.9	None
es-S1139-76322009000700014-1	T4	ENFERMEDAD	113	162	exantema urticariforme en extremidades inferiores	64305001	NARROW	MTHU044964	D014581	L50.9	HP:0001025
es-S1139-76322009000700014-1	T5	ENFERMEDAD	1534	1542	neumonía	233604007	EXACT	MTHU002638	D011014	J18.9	HP:0002090
es-S1139-76322009000700014-1	T6	ENFERMEDAD	639	683	adenopatías sub-maxilares y laterocervicales	127085002+127087005	COMPOSITE	None	None	None	None
es-S1139-76322009000700014-1	T7	ENFERMEDAD	1553	1573	adenopatías hiliares	87500009	EXACT	None	None	None	None
es-S1139-76322009000700014-1	T8	ENFERMEDAD	2379	2402	atelectasia segmentaria	61448007	EXACT	None	None	None	None
es-S1139-76322009000700014-1	T9	ENFERMEDAD	696	717	amígdalas congestivas	281795003	EXACT	None	None	None	None
es-S1139-76322009000700014-1	T10	ENFERMEDAD	785	807	Adenopatías inguinales	127199000	EXACT	None	None	None	None
es-S1139-76322009000700014-1	T11	ENFERMEDAD	1009	1035	insuficiencia respiratoria	409623005	EXACT	MTHU042093	D012131	None	HP:0002093
es-S1139-76322009000700014-1	T12	ENFERMEDAD	2429	2447	proceso infeccioso	40733004	EXACT	None	D003141	None	None
es-S1139-76322009000700014-1	T13	ENFERMEDAD	745	759	esplenomegalia	16294009	EXACT	MTHU001744	D013163	None	HP:0001744
es-S1139-76322009000700014-1	T14	ENFERMEDAD	1596	1610	esplenomegalia	16294009	EXACT	MTHU001744	D013163	None	HP:0001744
es-S1139-76322009000700014-1	T15	ENFERMEDAD	762	775	hepatomegalia	80515008	EXACT	MTHU050941	D006529	None	HP:0002240
es-S1139-76322009000700014-1	T16	ENFERMEDAD	343	426	erupción maculosa que afecta ahora ya, a extremidades inferiores, superiores y cara	725119006	NARROW	None	None	None	None
es-S1139-76322009000700014-1	T17	ENFERMEDAD	517	546	edema periorbital y palpebral	49563000+193967004	COMPOSITE	MTHU012473+MTHU011318	None	None	HP:0100539
es-S1139-76322009000700014-1	T18	ENFERMEDAD	620	637	obstrucción nasal	232209000	EXACT	MTHU047644	D015508	None	HP:0001742
es-S1139-76322009000700014-1	T19	ENFERMEDAD	866	874	exantema	271807003	EXACT	MTHU008860	D005076	R21	HP:0000988
es-S0004-06142009000200013-1	T1	ENFERMEDAD	80	86	aborto	17369002	EXACT	MTHU070695	D000022	O03	HP:0005268
es-S0004-06142009000200013-1	T2	ENFERMEDAD	533	555	hematuria macroscópica	197941005	EXACT	MTHU068861	None	None	HP:0012587
es-S0004-06142009000200013-1	T3	ENFERMEDAD	1511	1532	mullerianosis vesical	65099004	NARROW	None	None	None	None
es-S0004-06142009000200013-1	T4	ENFERMEDAD	906	912	lesión	417163006	EXACT	None	None	None	None
es-S0004-06142009000200013-1	T5	ENFERMEDAD	161	173	infertilidad	8619003	EXACT	MTHU006969	D007246	None	HP:0000789
es-S0004-06142009000200013-1	T6	ENFERMEDAD	18	26	fumadora	77176002	EXACT	None	D000074285	None	None
es-S0004-06142009000200013-1	T7	ENFERMEDAD	264	293	lesión exofítica intravesical	126885006	NARROW	None	D001749	None	HP:0009725
es-S0376-78922015000200010-1	T1	ENFERMEDAD	1234	1246	pólipo nasal	736500007	EXACT	MTHU038705	D009298	J33.0	HP:0100582
es-S0376-78922015000200010-1	T2	ENFERMEDAD	732	758	agenesia de cuerpo calloso	5102002	EXACT	MTHU051057	D061085	None	HP:0001274
es-S0376-78922015000200010-1	T3	ENFERMEDAD	444	469	narina derecha por pólipo	736636000	EXACT	None	None	None	None
es-S0376-78922015000200010-1	T4	ENFERMEDAD	1321	1337	pólipo intraoral	196579001	EXACT	None	None	None	None
es-S0376-78922015000200010-1	T5	ENFERMEDAD	139	148	epilepsia	84757009	EXACT	MTHU018883	D004827	G40.9	HP:0001250
es-S0376-78922015000200010-1	T6	ENFERMEDAD	182	189	autismo	408856003	EXACT	MTHU028108	D001321	F84.0	HP:0000717
es-S0376-78922015000200010-1	T7	ENFERMEDAD	1776	1803	agenesia del cuerpo calloso	5102002	EXACT	MTHU051057	D061085	None	HP:0001274
es-S0376-78922015000200010-1	T8	ENFERMEDAD	871	877	lipoma	93163002	EXACT	MTHU016136	D008067	None	HP:0012032
es-S0376-78922015000200010-1	T9	ENFERMEDAD	1399	1431	pólipos escamosos queratinizados	441456002	NARROW	None	D011127	None	None
es-S0376-78922015000200010-1	T10	ENFERMEDAD	572	586	hipertelorismo	22006008	EXACT	MTHU041645	D006972	Q75.2	HP:0000316
es-S0376-78922015000200010-1	T11	ENFERMEDAD	924	972	espina bífida oculta a nivel de columna cervical	76916001	NARROW	MTHU036568	D016136	Q76.0	HP:0003298
es-S0376-78922015000200010-1	T12	ENFERMEDAD	588	595	epifora	49393005	EXACT	None	None	None	None
es-S0376-78922015000200010-1	T13	ENFERMEDAD	1875	1893	crisis convulsivas	128613002	EXACT	MTHU018883	D004827	G40.9	HP:0001250
es-S0376-78922015000200010-1	T14	ENFERMEDAD	975	1031	fisura central a nivel de la arcada del maxilar superior	253993003	EXACT	None	None	None	None
es-S0376-78922015000200010-1	T15	ENFERMEDAD	1175	1181	lesión	417163006	EXACT	None	None	None	None
es-S0376-78922015000200010-1	T16	ENFERMEDAD	426	469	obstrucción de la narina derecha por pólipo	232209000	NARROW	MTHU047644	D015508	None	HP:0001742
es-S0365-66912006000800010-1	T1	ENFERMEDAD	583	596	pilomatricoma	274901004	EXACT	132600	D018296	None	HP:0030434
es-S0365-66912006000800010-1	T2	ENFERMEDAD	114	131	granuloma piógeno	200722003	EXACT	None	D017789	None	None
es-S0365-66912006000800010-1	T3	ENFERMEDAD	71	77	lesión	417163006	EXACT	None	None	None	None
es-S0365-66912006000800010-1	T4	ENFERMEDAD	537	543	lesión	417163006	EXACT	None	None	None	None
es-S0210-48062004000400008-1	T1	ENFERMEDAD	878	890	hipernefroma	702391001	EXACT	144700	D002292	None	HP:0005584
es-S0210-48062004000400008-1	T2	ENFERMEDAD	29	39	ex-fumador	8517006	EXACT	None	None	None	None
es-S0210-48062004000400008-1	T3	ENFERMEDAD	1049	1175	carcinoma de células renales del tipo de células claras de 8 cm de diámetro con invasión tumoral del uréter y de la vena renal	734015000+94659001	COMPOSITE	None	None	None	None
es-S0210-48062004000400008-1	T4	ENFERMEDAD	658	670	hipernefroma	702391001	EXACT	144700	D002292	None	HP:0005584
es-S0210-48062004000400008-1	T5	ENFERMEDAD	77	104	pólipo adenomatoso en colon	428054006	EXACT	MTHU008961	None	None	None
es-S0210-48062004000400008-1	T6	ENFERMEDAD	2290	2320	síndrome de compresión medular	71286001	EXACT	MTHU005440	D013117	G95.2	HP:0002176
es-S0210-48062004000400008-1	T7	ENFERMEDAD	1991	2033	metástasis por carcinoma de células claras	128462008	NARROW	None	None	None	None
es-S0210-48062004000400008-1	T8	ENFERMEDAD	1379	1389	metástasis	128462008	EXACT	None	None	None	None
es-S0210-48062004000400008-1	T9	ENFERMEDAD	106	121	hernia inguinal	396232000	EXACT	MTHU038462	D006552	K40	HP:0000023
es-S0210-48062004000400008-1	T10	ENFERMEDAD	124	142	varices esofágicas	28670008	EXACT	MTHU037473	D004932	I85	HP:0002040
es-S0210-48062004000400008-1	T11	ENFERMEDAD	706	753	trombosis de la vena renal y vena cava inferior	281595001+15842009	COMPOSITE	MTHU058336	None	None	None
es-S0210-48062004000400008-1	T12	ENFERMEDAD	183	221	anemia crónica hipocrómica microcítica	44666001	EXACT	MTHU039127	C536357	None	HP:0004840
es-S0210-48062004000400008-1	T13	ENFERMEDAD	844	854	metástasis	128462008	EXACT	None	None	None	None
es-S0210-48062004000400008-1	T14	ENFERMEDAD	1935	1943	lesiones	157670007	EXACT	None	None	None	None
es-S0210-48062004000400008-1	T15	ENFERMEDAD	778	789	adenopatías	30746006	EXACT	MTHU002630	D000072281	None	HP:0002716
es-S0210-48062004000400008-1	T16	ENFERMEDAD	2107	2143	infiltraba la vértebra a nivel C7-D1	94602001	NARROW	None	None	None	None
es-S1130-05582017000200105-1	T1	ENFERMEDAD	1791	1801	metástasis	128462008	EXACT	None	None	None	None
es-S1130-05582017000200105-1	T2	ENFERMEDAD	2946	2962	recidiva tumoral	25173007	EXACT	None	None	None	None
es-S1130-05582017000200105-1	T3	ENFERMEDAD	2556	2576	infiltración tumoral	128462008	EXACT	None	None	None	None
